otime,lon,lat,depth,mag,magtype,quality,hypo_evt_no,rmse,Herr,Verr
735719.708274537,114.2555,44.5628333333333,4.88,0,,C,301659,0.08,0.9,0.5
735719.862865509,114.246,44.5653333333333,3.72,2.16,,B,302042,0.08,0.6,0.7
735720.134403704,114.264833333333,44.5566666666667,5.5,2.16,,C,10313,0.08,0.6,0.3
735720.241923727,114.267666666667,44.5706666666667,5.41,1.76,,C,10548,0.08,0.6,0.4
735720.456242477,114.284666666667,44.5761666666667,5.79,1.81,,C,11056,0.06,0.6,0.4
735720.647379051,114.280333333333,44.5566666666667,6.15,1.62,,C,11532,0.06,0.8,0.6
735721.482172569,114.054166666667,44.316,6.83,1.42,,B,21134,0.12,0.9,1.4
735721.793060301,112.19,44.9815,0.16,1.85,,C,21900,0.2,0.8,1.5
735721.887456366,114.273833333333,44.5563333333333,6.05,1.76,,C,22117,0.06,0.7,0.4
735722.040420602,114.2715,44.5576666666667,6.18,1.92,,C,30058,0.06,0.7,0.3
735722.294002083,114.693666666667,44.6441666666667,4.59,1.7,,D,30703,0.11,6.1,13
735722.357034954,114.292833333333,44.561,7.1,0,,C,30833,0.09,0.7,0.4
735722.457989699,114.283833333333,44.5783333333333,5.08,1.4,,C,31059,0.04,0.9,0.6
735722.466308796,114.275833333333,44.5595,6.56,1.54,,C,31111,0.05,0.8,0.4
735722.765983796,114.252,44.5518333333333,3.56,1.48,,C,31822,0.05,0.9,1
735722.780033218,114.276166666667,44.5503333333333,5.37,1.57,,C,31843,0.08,1.2,0.6
735723.346260417,114.059666666667,44.297,5.96,2.26,,C,40818,0.11,1.2,0.8
735723.396327893,114.295166666667,44.581,6.09,2.06,,C,40930,0.05,0.7,0.3
735723.404432407,114.276666666667,44.5648333333333,4.61,1.84,,C,40942,0.06,0.7,0.3
735723.495609028,114.038166666667,44.2816666666667,6.45,1.39,,D,41153,0.08,5.2,11.1
735723.758430208,114.2605,44.5515,5.39,2.37,,C,41811,0.07,1,0.6
735724.394280208,114.275833333333,44.5518333333333,4.55,0,,C,50927,0.09,0.6,0.4
735724.919507523,114.259833333333,44.5511666666667,4.36,2.36,,C,52202,0.06,0.6,0.4
735724.949933912,114.266,44.5606666666667,4.41,1.46,,C,52247,0.08,1.2,0.7
735725.1484875,114.287666666667,44.576,4.97,2.15,,C,60333,0.06,0.7,0.2
735725.211805903,114.350333333333,44.6321666666667,6.17,1.91,,C,60504,0.06,1.1,0.4
735725.330143171,113.784666666667,43.5735,1.47,1.38,,C,60755,0.1,1.1,1.8
735725.443135301,112.609,44.3933333333333,5.05,2.13,,B,61037,0.1,0.3,1.1
735728.068269097,114.271,44.5748333333333,5.75,2.51,,C,90138,0.09,0.7,0.3
