otime lon lat depth mag quality hypo_evt_no rmse Herr Verr depth_FSL
735972.031171991 -113.817333333333 44.4458333333333 16.73 0 C 200260 0.27 1 2.3 15.267
735972.084845949 -114.071666666667 44.4143333333333 5 0 D 200261 0.17 2.4 18.9 4.655
735972.201840625 -114.081 44.47 5 0 D 200262 0.1 2.3 14.8 4.689
735972.369903241 -114.0415 44.5065 5 0 D 200263 0.15 17.6 17.8 4.689
735972.63534213 -114.219333333333 44.9415 5 0 D 200264 0.03 1.6 12.8 4.689
735972.676117824 -114.1355 44.3991666666667 5 0 D 200265 0.03 2.7 12.7 4.689
735972.676132176 -114.0795 44.433 5.34 0 D 200266 0.46 2.7 3.3 4.961
735972.737244907 -114.0305 44.3863333333333 5 0 D 200267 0.04 1.6 13 4.701
735972.944052315 -114.045333333333 44.5276666666667 5 0 D 200268 0.13 15.4 16.5 4.689
735973.072416088 -114.087 44.4443333333333 5 0 D 200269 0.12 4.5 16 4.689
735973.223579861 -114.062 44.4828333333333 5 0 D 200270 0.42 3.8 37.5 4.689
735973.264917245 -114.001666666667 44.4376666666667 5 0 D 200271 0.11 1.7 15.4 4.724
735973.267119444 -111.7045 43.2473333333333 0.05 0 C 200272 0.09 1.9 1.1 0.267
735973.362938426 -113.089 43.2385 8.48 0 D 200273 0.56 47.7 5.9 7.833
735973.562610417 -113.682166666667 44.295 5 0 D 200274 2.09 26.2 99 4.689
735973.56282963 -113.372666666667 44.913 54.58 0 D 200275 4.93 30.5 98.3 49.293
735973.576563079 -114.052666666667 44.4163333333333 5 0 D 200276 0.06 1.3 13.4 4.71
735973.625254282 -114.162333333333 44.3893333333333 5 0 D 200277 0.41 6.8 36 4.71
735973.625281019 -111.7825 44.358 5 0 D 200278 0.44 6 38.8 4.715
735973.888845486 -114.122833333333 44.4203333333333 5 0 D 200279 0.09 4.5 14.7 4.71
735973.888863426 -114.004 44.4593333333333 1.65 0 C 200280 0.25 1.5 2.3 1.707
735974.062982639 -114.197833333333 44.4448333333333 0.12 0 D 200281 0.38 3.1 4.8 0.34
735974.067265972 -113.945166666667 44.4291666666667 5 0 D 200282 0.1 3.3 14.9 4.724
735974.067460301 -112.234333333333 44.5235 5 0 D 200283 3.71 11.9 99 4.725
735974.10551875 -114.116666666667 44.4258333333333 5 0 D 200284 0.12 2.3 15.9 4.71
735974.105516088 -114.17 44.454 5 0 D 200285 0.05 1.9 13.2 4.655
735974.365185764 -112.781 44.7036666666667 5 0 D 200286 1.3 30.4 99 4.667
735974.375098727 -113.9455 44.4728333333333 5.38 0 C 200287 0.12 2 1.2 5.009
735974.431968056 -113.999333333333 44.4555 2.47 0 C 200288 0.12 1.2 2.1 2.456
735974.936545718 -113.947166666667 44.5243333333333 5 0 D 200289 0.51 4.8 44.2 4.718
735974.936526042 -114.431 44.4758333333333 34.78 0 D 200290 0.39 7.3 9.5 31.447
735974.939902315 -114.056333333333 44.4813333333333 7.12 0 D 200291 0.35 2.9 1.9 6.568
735974.942399537 -114.091333333333 44.463 6.26 0 D 200292 0.56 3.3 8.3 5.83
735974.954028704 -113.093166666667 44.5181666666667 5 0 D 200293 0.02 1 12.6 4.728
735974.958628125 -112.623666666667 44.6975 5 0 D 200294 0.04 0.7 12.9 4.724
735974.997504861 -114.036 44.528 5 0 D 200295 0.14 14.6 17.1 4.689
735975.036605671 -114.098833333333 44.4635 5 0 D 200296 0.13 7.2 16.5 4.71
735975.059601852 -114.075 44.4201666666667 5 0 D 200297 0.32 2.2 29.4 4.667
735975.069360648 -113.991166666667 44.4471666666667 5 0 D 200298 0.24 2.2 23.7 4.718
735975.07863287 -113.9675 44.4213333333333 5 0 D 200299 0.17 2 18.6 4.725
735975.094352546 -114.053666666667 44.4423333333333 5 0 D 200300 0.35 3 32.1 4.718
